phi the  : 1274
pine-apple ,  : 1
, roast  : 1
roast turkey  : 1
turkey ,  : 1
, toffee  : 1
toffee ,  : 1
and hot  : 3
hot buttered  : 1
buttered toast  : 1
toast ,  : 1
-rrb- she  : 2
she very  : 3
phi *  : 20
* *  : 125
* `  : 2
a curious  : 8
curious feeling  : 1
feeling !  : 1
alice ;  : 16
be shutting  : 1
shutting up  : 1
telescope .  : 2
indeed :  : 2
now only  : 1
ten inches  : 1
face brightened  : 1
brightened up  : 4
right size  : 5
door into  : 1
that lovely  : 3
minutes to  : 1
to shrink  : 1
shrink any  : 1
further :  : 1
little nervous  : 2
nervous about  : 2
might end  : 1
out altogether  : 1
candle .  : 1
be like  : 3
like then  : 1
to fancy  : 2
fancy what  : 1
the flame  : 1
flame of  : 1
candle is  : 2
like after  : 1
the candle  : 1
is blown  : 1
blown out  : 1
remember ever  : 2
having seen  : 2
thing .  : 11
finding that  : 1
more happened  : 1
she decided  : 2
decided on  : 1
on going  : 3
garden at  : 1
once ;  : 1
alas for  : 1
for poor  : 1
alice !  : 5
found she  : 2
table for  : 1
not possibly  : 1
possibly reach  : 1
reach it  : 1
it :  : 9
plainly through  : 1
legs of  : 2
too slippery  : 1
slippery ;  : 1
had tired  : 1
tired herself  : 1
with trying  : 1
trying ,  : 1
thing sat  : 1
in crying  : 1
crying like  : 1
rather sharply  : 1
sharply ;  : 1
i advise  : 1
advise you  : 2
off this  : 2
this minute  : 1
she generally  : 1
generally gave  : 1
good advice  : 2
seldom followed  : 1
it -rrb-  : 2
sometimes she  : 1
she scolded  : 1
scolded herself  : 1
severely as  : 1
bring tears  : 1
tears into  : 1
she remembered  : 6
remembered trying  : 1
to box  : 1
box her  : 1
own ears  : 1
ears for  : 1
having cheated  : 1
cheated herself  : 1
a game  : 2
of croquet  : 1
croquet she  : 1
playing against  : 1
against herself  : 1
this curious  : 1
curious child  : 1
of pretending  : 1
be two  : 2
use now  : 1
to pretend  : 3
pretend to  : 2
people !  : 4
's hardly  : 3
me left  : 1
one respectable  : 1
respectable person  : 1
person !  : 1
soon her  : 1
eye fell  : 2
little glass  : 2
glass box  : 1
box that  : 1
lying under  : 1
table :  : 1
small cake  : 1
` eat  : 1
eat me  : 1
' were  : 1
were beautifully  : 1
beautifully marked  : 1
marked in  : 1
in currants  : 1
currants .  : 1
'll eat  : 2
makes me  : 6
me grow  : 3
grow larger  : 2
larger ,  : 3
can reach  : 1
key ;  : 1
grow smaller  : 1
smaller ,  : 3
can creep  : 1
creep under  : 1
door ;  : 3
so either  : 1
either way  : 1
way i  : 5
'll get  : 8
care which  : 1
which happens  : 1
happens !  : 1
bit ,  : 7
said anxiously  : 2
anxiously to  : 1
way ?  : 4
phi which  : 5
phi ,  : 2
feel which  : 1
quite surprised  : 1
remained the  : 1
same size  : 2
size :  : 3
: to  : 2
sure ,  : 26
this generally  : 1
generally happens  : 1
happens when  : 2
eats cake  : 1
but alice  : 1
got so  : 4
much into  : 1
of expecting  : 1
expecting nothing  : 1
but out-of-the-way  : 1
happen ,  : 3
quite dull  : 1
stupid for  : 1
the common  : 1
common way  : 1
finished off  : 1
the cake  : 1
cake .  : 2
* chapter  : 1
chapter ii  : 1
ii .  : 1
the pool  : 9
pool of  : 2
tears `  : 1
` curiouser  : 1
curiouser and  : 1
and curiouser  : 1
curiouser !  : 1
cried alice  : 7
alice -lrb-  : 1
that for  : 4
she quite  : 2
quite forgot  : 4
forgot how  : 1
speak good  : 1
good english  : 1
english -rrb-  : 1
'm opening  : 1
largest telescope  : 1
telescope that  : 1
ever was  : 4
phi good-bye  : 3
good-bye ,  : 4
, feet  : 1
feet !  : 3
they seemed  : 2
be almost  : 2
getting so  : 3
off -rrb-  : 1
wonder who  : 1
your shoes  : 2
and stockings  : 1
stockings for  : 1
, dears  : 1
dears ?  : 1
'm sure  : 10
able !  : 1
deal too  : 2
trouble myself  : 1
myself about  : 1
about you  : 4
you :  : 1
manage the  : 1
can ;  : 1
; --  : 1
or perhaps  : 1
perhaps they  : 2
they wo  : 3
n't walk  : 2
walk the  : 1
'll give  : 6
new pair  : 1
of boots  : 1
boots every  : 1
every christmas  : 1
christmas .  : 6
on planning  : 1
planning to  : 1
herself how  : 2
would manage  : 1
the carrier  : 1
carrier ,  : 1
seem ,  : 2
, sending  : 1
sending presents  : 1
presents to  : 2
's own  : 4
own feet  : 3
how odd  : 1
odd the  : 1
the directions  : 1
directions will  : 1
right foot  : 1
, esq.  : 1
esq. .  : 1
phi hearthrug  : 1
hearthrug ,  : 1
, near  : 1
the fender  : 1
fender ,  : 1
-lrb- with  : 2
with alice  : 1
's love  : 1
love -rrb-  : 1
what nonsense  : 2
nonsense i  : 1
'm talking  : 1
talking !  : 1
head struck  : 1
struck against  : 1
hall :  : 1
: in  : 2
now more  : 1
than nine  : 1
nine feet  : 2
once took  : 1
garden door  : 1
, lying  : 5
lying down  : 5
look through  : 2
through into  : 2
eye ;  : 2
through was  : 1
more hopeless  : 2
hopeless than  : 1
ever :  : 1
cry again  : 2
of yourself  : 2
great girl  : 1
girl like  : 1
well say  : 5
this -rrb-  : 1
on crying  : 1
way !  : 2
phi stop  : 4
stop this  : 1
, shedding  : 1
shedding gallons  : 1
gallons of  : 1
large pool  : 1
pool all  : 1
, about  : 5
about four  : 2
four inches  : 1
inches deep  : 1
and reaching  : 1
reaching half  : 1
half down  : 1
little pattering  : 3
pattering of  : 3
of feet  : 4
she hastily  : 3
hastily dried  : 1
rabbit returning  : 1
returning ,  : 1
, splendidly  : 1
splendidly dressed  : 1
a pair  : 11
white kid  : 5
kid gloves  : 6
gloves in  : 1
large fan  : 1
fan in  : 1
other :  : 3
came trotting  : 1
trotting along  : 1
hurry ,  : 4
, muttering  : 1
muttering to  : 2
the duchess  : 41
duchess ,  : 9
duchess !  : 3
phi wo  : 2
n't she  : 3
she be  : 1
be savage  : 1
savage if  : 1
've kept  : 1
her waiting  : 1
waiting !  : 1
alice felt  : 5
so desperate  : 1
desperate that  : 1
ask help  : 1
rabbit came  : 4
, timid  : 1
timid voice  : 2
you please  : 5
sir --  : 2
rabbit started  : 1
started violently  : 1
violently ,  : 3
, dropped  : 4
dropped the  : 3
gloves and  : 2
the fan  : 6
fan ,  : 2
and skurried  : 1
skurried away  : 1
darkness as  : 1
alice took  : 1
fan and  : 6
and gloves  : 3
gloves ,  : 3
very hot  : 1
she kept  : 3
kept fanning  : 1
fanning herself  : 3
herself all  : 1
talking :  : 1
how queer  : 2
queer everything  : 1
is to-day  : 1
and yesterday  : 1
yesterday things  : 1
on just  : 2
usual .  : 7
've been  : 26
been changed  : 4
changed in  : 1
night ?  : 4
me think  : 1
think :  : 1
: was  : 1
was i  : 4
i the  : 3
same when  : 1
up this  : 2
this morning  : 14
morning ?  : 5
i almost  : 4
almost think  : 1
can remember  : 2
remember feeling  : 1
feeling a  : 1
little different  : 1
different .  : 1
next question  : 2
question is  : 3
world am  : 1
i ?  : 4
great puzzle  : 1
puzzle !  : 1
began thinking  : 2
as herself  : 3
changed for  : 2
not ada  : 1
ada ,  : 1
hair goes  : 1
goes in  : 1
such long  : 2
long ringlets  : 1
ringlets ,  : 1
and mine  : 1
mine does  : 1
in ringlets  : 1
ringlets at  : 1
be mabel  : 2
mabel ,  : 2
knows such  : 1
little !  : 3
she 's  : 29
's she  : 1
'm i  : 1
-- oh  : 13
how puzzling  : 2
puzzling it  : 1
'll try  : 6
i used  : 8
: four  : 1
times five  : 1
five is  : 1
is twelve  : 2
times six  : 1
six is  : 1
is thirteen  : 1
thirteen ,  : 2
times seven  : 1
seven is  : 1
is --  : 9
to twenty  : 1
twenty at  : 2
that rate  : 1
rate !  : 1
the multiplication  : 1
multiplication table  : 1
table does  : 1
n't signify  : 1
signify :  : 1
: let  : 1
let 's  : 17
's try  : 2
try geography  : 1
geography .  : 1
phi london  : 1
london is  : 1
of paris  : 1
paris ,  : 1
and paris  : 1
paris is  : 1
of rome  : 1
rome ,  : 1
and rome  : 1
rome --  : 1
all wrong  : 1
wrong ,  : 5
'm certain  : 1
certain !  : 1
for mabel  : 1
mabel !  : 1
say ``  : 5
`` how  : 20
how doth  : 3
doth the  : 3
little --  : 1
-- ''  : 33
she crossed  : 2
crossed her  : 3
lap as  : 1
saying lessons  : 1
lessons ,  : 4
to repeat  : 3
voice sounded  : 2
sounded hoarse  : 1
hoarse and  : 1
and strange  : 2
words did  : 1
they used  : 2
: --  : 17
little crocodile  : 1
crocodile improve  : 1
improve his  : 1
his shining  : 1
shining tail  : 1
pour the  : 1
the nile  : 1
nile on  : 1
every golden  : 1
golden scale  : 1
scale !  : 1
how cheerfully  : 1
cheerfully he  : 1
he seems  : 5
to grin  : 1
grin ,  : 5
how neatly  : 1
neatly spread  : 1
spread his  : 2
and welcome  : 3
welcome little  : 1
fishes in  : 1
with gently  : 1
gently smiling  : 1
smiling jaws  : 1
jaws !  : 1
sure those  : 1
right words  : 1
said poor  : 2
tears again  : 1
again as  : 3
mabel after  : 1
that poky  : 1
poky little  : 1
have next  : 1
no toys  : 1
toys to  : 1
and oh  : 4
many lessons  : 1
lessons to  : 2
learn !  : 2
've made  : 4
mind about  : 1
'm mabel  : 1
'll stay  : 3
stay down  : 2
use their  : 1
their putting  : 1
putting their  : 1
heads down  : 2
saying ``  : 1
`` come  : 13
look up  : 5
`` who  : 14
who am  : 2
i then  : 1
that first  : 1
being that  : 1
that person  : 1
'll come  : 4
up :  : 1
'm somebody  : 1
else ''  : 1
'' --  : 11
sudden burst  : 1
do wish  : 3
down !  : 5
being all  : 1
alone here  : 1
rabbit 's  : 4
gloves while  : 1
growing small  : 1
small again  : 1
table to  : 3
to measure  : 2
measure herself  : 1
by it  : 2
as nearly  : 1
nearly as  : 3
guess ,  : 2
now about  : 4
about two  : 5
on shrinking  : 1
shrinking rapidly  : 2
rapidly :  : 1
she soon  : 4
fan she  : 1
holding ,  : 1
she dropped  : 3
dropped it  : 1
it hastily  : 1
hastily ,  : 4
avoid shrinking  : 1
shrinking away  : 1
away altogether  : 1
narrow escape  : 1
escape !  : 1
deal frightened  : 2
sudden change  : 3
find herself  : 2
herself still  : 1
in existence  : 1
existence ;  : 1
now for  : 4
garden !  : 1
all speed  : 1
speed back  : 1
door :  : 1
shut again  : 1
glass table  : 3
table as  : 1
never was  : 6
small as  : 1
i declare  : 1
declare it  : 1
's too  : 4
too bad  : 6
words her  : 1
her foot  : 5
foot slipped  : 1
slipped ,  : 1
, splash  : 1
splash !  : 1
her chin  : 5
chin in  : 1
in salt  : 1
salt water  : 2
first idea  : 1
had somehow  : 1
somehow fallen  : 1
case i  : 1
by railway  : 1
railway ,  : 1
the seaside  : 1
seaside once  : 1
general conclusion  : 1
conclusion ,  : 1
that wherever  : 1
wherever you  : 1
to on  : 1
the english  : 4
english coast  : 1
coast you  : 1
of bathing  : 1
bathing machines  : 1
machines in  : 1
some children  : 2
children digging  : 1
digging in  : 1
sand with  : 1
with wooden  : 1
wooden spades  : 1
of lodging  : 1
lodging houses  : 1
houses ,  : 3
a railway  : 1
railway station  : 2
station .  : 4
soon made  : 2
tears which  : 1
had wept  : 1
wept when  : 1
was nine  : 1
n't cried  : 1
cried so  : 1
swam about  : 1
punished for  : 1
i suppose  : 58
suppose ,  : 8
being drowned  : 1
drowned in  : 1
own tears  : 1
tears !  : 1
queer thing  : 1
is queer  : 1
queer to-day  : 1
heard something  : 3
something splashing  : 1
splashing about  : 1
pool a  : 2
swam nearer  : 1
nearer to  : 6
was :  : 4
: at  : 4
a walrus  : 2
walrus or  : 1
or hippopotamus  : 1
hippopotamus ,  : 1
how small  : 2
small she  : 1
mouse that  : 1
had slipped  : 3
slipped in  : 3
in like  : 2
like herself  : 1
` would  : 6
it be  : 9
this mouse  : 1
mouse ?  : 1
so out-of-the-way  : 1
out-of-the-way down  : 1
think very  : 1
likely it  : 1
can talk  : 2
talk :  : 1
rate ,  : 5
harm in  : 3
in trying  : 1
began :  : 2
' o  : 1
o mouse  : 3
this pool  : 1
pool ?  : 2
of swimming  : 1
about here  : 2
mouse !  : 2
alice thought  : 12
mouse :  : 1
's latin  : 1
latin grammar  : 1
grammar ,  : 1
mouse --  : 4
-- of  : 6
-- to  : 14
-- o  : 2
' -rrb-  : 3
mouse looked  : 1
her rather  : 1
rather inquisitively  : 1
inquisitively ,  : 1
to wink  : 1
wink with  : 1
little eyes  : 4
understand english  : 1
english ,  : 3
daresay it  : 1
a french  : 1
french mouse  : 1
come over  : 4
with william  : 2
william the  : 3
the conqueror  : 3
conqueror .  : 2
knowledge of  : 2
of history  : 1
history ,  : 6
no very  : 2
very clear  : 3
clear notion  : 1
notion how  : 2
ago anything  : 1
anything had  : 1
` ou  : 1
ou est  : 1
est ma  : 1
ma chatte  : 1
chatte ?  : 1
first sentence  : 1
sentence in  : 1
her french  : 1
french lesson-book  : 1
lesson-book .  : 1
mouse gave  : 1
sudden leap  : 1
leap out  : 1
to quiver  : 1
quiver all  : 1
your pardon  : 10
pardon !  : 4
alice hastily  : 4
, afraid  : 1
had hurt  : 1
hurt the  : 2
poor animal  : 1
's feelings  : 1
feelings .  : 2
forgot you  : 2
like cats  : 4
cats .  : 1
cats !  : 1
a shrill  : 2
shrill ,  : 2
, passionate  : 2
passionate voice  : 1
cats if  : 2
were me  : 1
perhaps not  : 3
alice in  : 6
a soothing  : 1
soothing tone  : 1
tone :  : 5
angry about  : 1
could show  : 2
you our  : 2
our cat  : 2
cat dinah  : 1
dinah :  : 1
you 'd  : 26
'd take  : 3
to cats  : 1
only see  : 3
dear quiet  : 1
quiet thing  : 1
' alice  : 26
alice went  : 5
half to  : 4
swam lazily  : 1
lazily about  : 1
pool ,  : 14
she sits  : 1
sits purring  : 1
purring so  : 1
so nicely  : 2
nicely by  : 1
, licking  : 5
licking her  : 1
her paws  : 1
paws and  : 1
and washing  : 3
washing her  : 1
face --  : 7
nice soft  : 1
soft thing  : 1
to nurse  : 1
nurse --  : 1
's such  : 4
capital one  : 2
for catching  : 2
catching mice  : 2
mice --  : 1
alice again  : 3
was bristling  : 1
bristling all  : 1
felt certain  : 1
certain it  : 1
be really  : 1
really offended  : 1
talk about  : 9
more if  : 3
'd rather  : 5
rather not  : 2
we indeed  : 1
trembling down  : 1
would talk  : 3
a subject  : 1
subject !  : 1
our family  : 5
family always  : 2
always hated  : 3
hated cats  : 1
cats :  : 1
: nasty  : 1
nasty ,  : 2
, vulgar  : 1
vulgar things  : 1
things !  : 8
me hear  : 1
name again  : 1
n't indeed  : 1
hurry to  : 8
to change  : 12
change the  : 5
the subject  : 5
of conversation  : 2
-- are  : 1
you fond  : 1
fond --  : 1
of --  : 2
dogs ?  : 1
mouse did  : 2
on eagerly  : 2
eagerly :  : 1
dog near  : 1
near our  : 1
our house  : 1
house i  : 1
little bright-eyed  : 1
bright-eyed terrier  : 1
terrier ,  : 2
with oh  : 1
long curly  : 1
curly brown  : 1
brown hair  : 5
hair !  : 1
'll fetch  : 2
fetch things  : 1
things when  : 1
'll sit  : 2
sit up  : 2
beg for  : 1
its dinner  : 1
things --  : 6
n't remember  : 7
remember half  : 1
them --  : 11
it belongs  : 3
belongs to  : 6
a farmer  : 2
says it  : 2
's so  : 9
so useful  : 1
useful ,  : 4
's worth  : 1
worth a  : 3
hundred pounds  : 4
pounds !  : 1
it kills  : 1
kills all  : 1
the rats  : 1
rats and  : 1
a sorrowful  : 3
sorrowful tone  : 2
've offended  : 1
offended it  : 1
was swimming  : 1
swimming away  : 1
making quite  : 2
a commotion  : 1
commotion in  : 1
pool as  : 1
called softly  : 1
softly after  : 1
` mouse  : 1
mouse dear  : 1
about cats  : 1
cats or  : 1
or dogs  : 1
dogs either  : 1
mouse heard  : 1
swam slowly  : 1
: its  : 1
quite pale  : 4
pale -lrb-  : 1
with passion  : 2
thought -rrb-  : 1
low trembling  : 1
us get  : 3
my history  : 1
'll understand  : 2
why it  : 5
i hate  : 11
hate cats  : 1
cats and  : 1
and dogs  : 1
pool was  : 1
getting quite  : 1
quite crowded  : 1
and animals  : 1
animals that  : 1
: there  : 3
duck and  : 1
a dodo  : 1
dodo ,  : 3
a lory  : 1
lory and  : 1
an eaglet  : 1
eaglet ,  : 1
and several  : 3
several other  : 2
other curious  : 1
curious creatures  : 1
alice led  : 1
whole party  : 3
party swam  : 1
swam to  : 1
shore .  : 6
chapter iii  : 1
iii .  : 1
a caucus-race  : 3
caucus-race and  : 1
long tale  : 2
tale they  : 1
a queer-looking  : 2
queer-looking party  : 1
party that  : 1
that assembled  : 1
assembled on  : 1
bank --  : 2
birds with  : 1
with draggled  : 1
draggled feathers  : 1
animals with  : 1
their fur  : 3
fur clinging  : 1
clinging close  : 1
all dripping  : 1
dripping wet  : 1
, cross  : 1
cross ,  : 1
and uncomfortable  : 1
first question  : 2
question of  : 2
course was  : 1
get dry  : 2
dry again  : 2
: they  : 6
a consultation  : 2
consultation about  : 1
minutes it  : 2
natural to  : 1
to alice  : 24
herself talking  : 1
talking familiarly  : 1
familiarly with  : 1
known them  : 2
long argument  : 1
argument with  : 1
the lory  : 6
lory ,  : 3
last turned  : 1
turned sulky  : 1
sulky ,  : 1
am older  : 1
older than  : 3
know better  : 3
better '  : 1
this alice  : 2
alice would  : 1
allow without  : 1
how old  : 2
old it  : 1
lory positively  : 1
positively refused  : 1
tell its  : 1
its age  : 1
be said  : 4
who seemed  : 4
person of  : 1
of authority  : 2
authority among  : 1
and listen  : 3
'll soon  : 1
soon make  : 1
you dry  : 1
dry enough  : 1
enough !  : 1
large ring  : 1
middle .  : 1
alice kept  : 1
eyes anxiously  : 1
anxiously fixed  : 1
sure she  : 4
would catch  : 1
bad cold  : 1
cold if  : 1
dry very  : 1
mouse with  : 1
an important  : 1
important air  : 1
ready ?  : 2
the driest  : 1
driest thing  : 1
phi silence  : 1
silence all  : 1
please !  : 1
phi ``  : 2189
`` william  : 1
conqueror ,  : 1
whose cause  : 1
cause was  : 1
was favoured  : 1
favoured by  : 1
the pope  : 1
pope ,  : 1
soon submitted  : 1
submitted to  : 1
to by  : 3
wanted leaders  : 1
leaders ,  : 2
been of  : 1
of late  : 3
late much  : 1
much accustomed  : 1
to usurpation  : 1
usurpation and  : 1
and conquest  : 1
conquest .  : 1
phi edwin  : 1
edwin and  : 2
and morcar  : 2
morcar ,  : 2
the earls  : 2
earls of  : 2
of mercia  : 2
mercia and  : 2
and northumbria  : 2
northumbria --  : 1
a shiver  : 1
shiver .  : 3
, frowning  : 2
frowning ,  : 1
very politely  : 5
politely :  : 1
speak ?  : 2
not i  : 4
i !  : 2
lory hastily  : 1
hastily .  : 8
thought you  : 7
i proceed  : 1
proceed .  : 2
`` edwin  : 1
northumbria ,  : 1
, declared  : 1
declared for  : 1
even stigand  : 1
stigand ,  : 1
the patriotic  : 1
patriotic archbishop  : 1
archbishop of  : 1
of canterbury  : 1
canterbury ,  : 1
it advisable  : 3
advisable --  : 1
` found  : 2
found what  : 2
what ?  : 10
mouse replied  : 1
replied rather  : 2
rather crossly  : 1
crossly :  : 1
course you  : 3
what ``  : 3
`` it  : 101
it ''  : 3
'' means  : 2
means .  : 3
means well  : 1
duck :  : 1
's generally  : 1
generally a  : 2
frog or  : 1
a worm  : 1
worm .  : 1
the archbishop  : 1
archbishop find  : 1
find ?  : 1
but hurriedly  : 1
hurriedly went  : 1
' ''  : 8
-- found  : 1
advisable to  : 2
with edgar  : 1
edgar atheling  : 1
atheling to  : 1
meet william  : 1
william and  : 1
offer him  : 1
phi william  : 1
william 's  : 1
's conduct  : 1
conduct at  : 1
first was  : 2
was moderate  : 1
moderate .  : 1
the insolence  : 2
insolence of  : 1
his normans  : 1
normans --  : 1
'' how  : 1
how are  : 6
you getting  : 2
alice as  : 4
it spoke  : 2
as wet  : 1
wet as  : 1
a melancholy  : 4
melancholy tone  : 2
dry me  : 1
the dodo  : 12
dodo solemnly  : 2
solemnly ,  : 2
, rising  : 2
rising to  : 1
i move  : 2
move that  : 1
the meeting  : 5
meeting adjourn  : 1
adjourn ,  : 1
the immediate  : 1
immediate adoption  : 1
adoption of  : 1
more energetic  : 1
energetic remedies  : 1
remedies --  : 1
` speak  : 2
speak english  : 1
english !  : 1
